;Номер Сборочного   ;Имя Сборочного;Состав Сборочного;Дата обновления;Чертеж Сборочного;Адрес папки;Дата чертежа;;;;;;;
;1120СК3945.00.00.00.000-05-09 СБ;Силос в сборе;"СК3945.00.00.00.001 | Фасонка опоры | 5
СК3945.00.00.00.001-01 | Фасонка опоры | 5
СК3945.00.00.00.003 | Раскос опоры | 10
СК3945.00.00.00.007 | Уголок дна | 5
СК3945.14.01.00.001-02 | Стойка | 5
СКМ3945.00.00.00.003 | Стяжка конуса | 5
СКМ3960.00.00.00.007 | Уголок | 5
";27.06.2025 7:36;;;;;;;;;;
;1120СК3960.00.00.00.000-02-04 СБ;Силос в сборе;"СКМ3960.00.00.00.001 | Фасонка опоры | 10
СКМ3960.00.00.00.001-01 | Фасонка опоры | 10
СКМ3960.00.00.00.002 | Раскос опоры | 10
СКМ3960.00.00.00.003 | Платик | 5
СКМ3960.00.00.00.004 | Фасонка растяжки | 10
СКМ3960.00.00.00.005 | Растяжка | 10
СКМ3960.00.00.00.006 | Уголок дна | 5
СКМ3960.00.00.00.007 | Уголок | 5
СКМ3960.00.00.00.008 | Стяжка конуса | 5
";27.06.2025 7:36;;;;;;;;;;
;1120СК3960.00.00.00.000-05-09 СБ;Силос в сборе;"СК3945.00.00.00.001 | Фасонка опоры | 5
СК3945.00.00.00.001-01 | Фасонка опоры | 5
СК3945.00.00.00.003 | Раскос опоры | 20
СК3945.14.01.00.001-02 | Стойка | 5
СК3960.00.00.00.005 | Фасонка опоры | 10
СК3960.00.00.00.006 | Стяжка опоры | 5
СКМ3960.00.00.00.006 | Уголок дна | 5
СКМ3960.00.00.00.007 | Уголок | 5
СКМ3960.00.00.00.008 | Стяжка конуса | 5
";27.06.2025 7:36;;;;;;;;;;
;1120СКЭА4860.00.00.00.000-05-08 СБ;Силос в сборе;"СЭ4860.00.00.00.001 | Фасонка опоры | 24
СЭ4860.00.00.00.003 | Раскос опоры | 24
";27.06.2025 7:36;;;;;;;;;;
;1120СФ2160.00.00.00.000-04 (-05) СБ;Силос в сборе;"СФ1860.00.00.00.006 | Уголок дна | 4
СФ1860.00.00.00.007 | Уголок | 4
СФ2160.00.00.00.001-01 | Фасонка опоры | 8
СФ2160.00.00.00.001-02 | Фасонка опоры | 8
СФ2160.00.00.00.002 | Стяжка опоры | 8
СФ2160.00.00.00.003 | Раскос опоры | 8
СФ2160.00.00.00.004 | Стяжка конуса | 4
";27.06.2025 7:36;;;;;;;;;;
;1120СФ3260.00.00.00.000 СБ;Силос в сборе;"СФ1860.00.00.00.007 | Уголок | 6
СФ2760.00.00.00.005 | Уголок дна | 6
СФ3260.00.00.00.001 | Фасонка опоры | 12
СФ3260.00.00.00.001-01 | Фасонка опоры | 12
СФ3260.00.00.00.001-02 | Фасонка опоры | 12
СФ3260.00.00.00.002 | Стяжка опоры | 6
СФ3260.00.00.00.003 | Раскос опоры | 24
СФ3260.00.00.00.004 | Стяжка конуса | 6
";27.06.2025 7:36;;;;;;;;;;
;1120СФ4860.00.00.00.000;Силос в сборе;"СФ1860.00.00.00.002 | Фасонка опоры | 8
СФ1860.00.00.00.003 | Стяжка опоры | 4
СФ1860.00.00.00.004 | Раскос опоры | 8
СФ1860.00.00.00.005 | Стяжка конуса | 4
СФ1860.00.00.00.006 | Уголок дна | 4
СФ1860.00.00.00.007 | Уголок | 4
СФ1860.00.00.00.010 | Стойка | 4
";27.06.2025 7:36;;;;;;;;;;
;1120СЭ3260.00.00.00.000 СБ;Силос в сборе;"1120СЭ3260.00.00.00.001 | Фасонка опоры | 12
1120СЭ3260.00.00.00.001-01 | Фасонка опоры | 12
1120СЭ3260.00.00.00.002 | Раскос опоры | 12
";27.06.2025 7:36;1120СЭ3260.00.00.00.000 СБ Силос в сборе.cdw;K:\1 ЧЕРТЕЖИ СИЛОСЫ\СЭ 3260\1120СЭ3260.00.00.00.000 Силос в сборе;26.12.2023 10:59;;;;;;;
;1120СЭ3945.00.00.00.000-03-06;Силос в сборе;"1120СЭ3945.00.00.00.00.001 | Фасонка опоры | 4
СЭ3945.00.00.00.001 | Фасонка опоры | 4
СЭ3945.00.00.00.001-01 | Фасонка опоры | 4
СЭ3945.00.00.00.002 | Раскос опоры | 8
СЭ3945.08.00.00.001-04 | Стойка 3-6 ярусов | 4
";27.06.2025 7:36;;;;;;;;;;
;1120СЭ3960.00.00.00.000-02 СБ;Силос в сборе;"СЭ3960.00.00.00.001 | Фасонка опоры | 4
СЭ3960.00.00.00.001-01 | Фасонка опоры | 4
СЭ3960.00.00.00.001-02 | Фасонка опоры | 4
СЭ3960.00.00.00.002 | Раскос опоры | 8
СЭ3960.00.00.00.003 | Фасонка раскоса | 4
СЭ3960.00.00.00.003-01 | Фасонка раскоса | 4
СЭ3960.00.00.00.004 | Раскос | 4
СЭ3960.00.00.00.005 | Стяжка | 2
СЭ3960.07.00.00.001-02 | Стойка | 4
";27.06.2025 7:36;;;;;;;;;;
;1120СЭ4860.00.00.00.000-02-04 СБ;Силос в сборе;"1120СЭ4860.00.00.00.001 | Фасонка опоры | 24
1120СЭ4860.00.00.00.001-01 | Фасонка опоры | 24
1120СЭ4860.00.00.00.002 | Раскос опоры | 24
";27.06.2025 7:36;;;;;;;;;;
